wages,gender,race,union,edu,exp,age
11.55,1,0,0,12,20,38
5,0,0,0,9,9,24
12,0,0,0,16,15,37
7,0,1,1,14,38,58
21.15,1,1,0,16,19,41
6.92,1,0,0,12,4,22
10,1,0,0,12,14,32
8,1,1,0,12,32,50
15.63,0,0,0,18,7,31
18.22,1,0,0,18,5,29
20,0,0,0,20,31,57
4.35,1,0,0,12,7,25
5,0,0,0,5,31,42
8.25,0,1,0,12,14,32
15,0,0,1,12,15,33
19,1,1,1,14,26,46
18,0,1,1,14,23,43
7.07,0,0,1,16,4,26
8,0,0,0,14,16,36
25,0,0,0,14,27,47
17.3,1,0,0,12,44,62
16,1,0,0,12,38,56
5,1,0,0,12,19,37
8.25,0,0,0,12,13,31
8,1,0,1,12,14,32
13.69,1,1,0,12,20,38
19.9,0,0,0,12,26,44
22,1,1,1,12,17,35
6.5,1,0,0,12,1,19
12,1,1,0,12,19,37
13.39,0,0,0,12,34,52
36.85,0,0,0,20,21,47
27.47,0,0,0,16,25,47
6,0,1,0,12,2,20
21.54,1,0,1,18,19,43
12.43,0,0,0,12,7,25
19.7,0,0,0,12,33,51
7.5,1,0,0,12,11,29
25.95,0,0,0,18,12,36
25.95,1,0,0,16,13,35
11.53,1,0,0,18,29,53
5.5,1,0,0,12,2,20
9.62,0,0,0,12,10,28
5.25,1,1,0,12,3,21
11.5,0,0,0,12,9,27
17,0,0,0,16,30,52
11,0,0,1,12,30,48
13,1,0,0,12,29,47
7.32,0,0,0,12,2,20
5.5,0,0,0,12,6,24
11.52,0,0,0,12,33,51
15,0,0,0,12,37,55
13.5,0,0,1,12,16,34
6.75,1,0,0,11,12,29
12.5,0,0,0,12,12,30
7.1,0,0,0,9,28,43
6,0,1,0,11,35,52
14.43,0,0,0,16,9,31
13.78,1,0,0,16,2,24
5,1,1,0,12,7,25
4.49,1,1,1,10,31,47
10,0,0,0,5,42,53
5,1,0,0,12,37,55
17.68,1,0,1,16,33,55
4.38,1,1,0,12,23,41
6.88,1,0,0,12,12,30
12.5,1,0,0,12,25,43
13.9,1,0,0,16,8,30
7,0,0,0,12,41,59
12,0,0,1,11,32,49
9,0,0,0,12,15,33
6.5,0,0,0,11,6,23
16,0,0,1,12,42,60
2.13,1,0,0,12,12,30
9.62,0,1,0,12,21,39
20.2,1,0,0,18,21,45
14.43,1,0,0,20,2,28
35.83,0,0,0,20,20,46
16.67,1,0,0,14,11,31
23.08,0,0,1,18,25,49
4.25,0,0,0,14,7,27
5.5,1,0,0,12,25,43
15.59,0,0,0,12,36,54
6.94,1,1,0,14,26,46
25,1,0,0,14,30,50
5,0,0,0,12,3,21
15.68,1,0,1,16,21,43
9.53,1,1,0,12,19,37
11,0,0,0,12,7,25
4.25,1,0,0,12,0,18
4,1,1,0,12,34,52
8.25,0,0,0,12,15,33
22,0,0,1,12,15,33
5.15,1,0,0,12,1,19
4.7,0,0,0,16,1,23
8,0,0,0,1,26,33
12,0,1,1,11,32,49
2,1,0,0,5,14,25
5,0,0,0,9,12,27
7,0,0,0,12,3,21
12,0,0,1,5,30,41
17.49,0,0,0,12,14,32
6.75,0,1,0,10,9,25
6.5,1,1,0,14,5,25
4.5,1,0,0,1,26,33
8.65,1,1,0,16,18,40
10,0,0,0,9,8,23
5.5,1,0,0,1,20,27
7.5,0,0,0,12,2,20
3.57,1,0,0,16,1,23
18.25,1,1,1,16,21,43
16,0,0,0,14,26,46
25,0,0,1,18,33,57
12,1,0,0,12,41,59
15.35,1,0,0,12,22,40
16.67,1,0,0,12,28,46
6.25,0,0,1,12,38,56
4.25,1,0,0,12,37,55
17.3,0,0,0,16,15,37
20.83,0,0,1,12,38,56
18.46,0,0,1,16,30,52
10,0,0,0,10,2,18
11.55,0,0,0,12,15,33
11,1,0,0,14,7,27
15.89,1,0,0,16,24,46
23.08,0,1,0,16,14,36
4.25,1,0,0,5,22,33
5,0,0,0,7,7,20
17.45,1,0,0,12,23,41
12.82,1,0,0,16,25,47
6.8,0,1,0,12,2,20
4.25,1,0,0,10,5,21
8.65,1,1,0,12,38,56
8,1,0,1,12,36,54
13.25,1,0,0,14,25,45
6.75,0,0,0,12,17,35
5.5,1,0,0,1,24,31
7.5,0,0,0,12,19,37
9.25,1,0,0,16,21,43
29.12,0,0,0,16,22,44
24.75,0,0,0,16,19,41
8.96,1,0,1,12,41,59
8,0,0,0,12,6,24
7,1,0,0,12,1,19
17.3,1,0,1,16,37,59
12.03,0,0,0,12,10,28
9,0,1,1,16,4,26
5.5,0,0,0,12,0,18
4.45,1,0,0,11,1,18
6.06,1,0,1,12,1,19
21.63,0,0,0,16,12,34
5.83,0,0,0,12,2,20
43.25,0,0,0,18,13,37
37.5,0,0,0,12,22,40
8.19,0,0,0,12,13,31
21.63,0,0,0,16,12,34
6,1,0,0,12,17,35
9.75,1,0,0,16,7,29
8.65,1,0,0,16,10,32
7,1,0,0,12,24,42
6,0,0,0,7,24,37
10,1,0,1,12,7,25
12.5,1,0,0,12,13,31
25.48,1,0,1,18,30,54
5,1,0,0,12,4,22
14.43,1,1,0,16,5,27
24.47,1,0,0,16,33,55
28.85,0,0,1,20,23,49
42.73,0,0,0,20,13,39
7,0,1,0,16,15,37
9,1,1,0,16,23,45
7,0,1,0,12,3,21
18,0,0,0,12,22,40
18,0,0,0,12,22,40
13.55,1,0,1,16,24,46
9.3,1,0,0,12,20,38
14.24,0,0,0,16,17,39
18,1,0,0,18,9,33
9.09,1,0,0,12,16,34
17.64,1,0,0,12,13,31
11.53,1,0,0,16,14,36
19.15,0,0,1,14,11,31
12.2,1,0,0,12,15,33
14.44,0,0,0,12,7,25
15,1,0,0,16,29,51
9.54,1,0,0,12,27,45
17.45,0,0,0,12,23,41
24,1,0,0,14,16,36
14.43,0,0,0,18,8,32
16.35,0,0,0,16,8,30
5,1,0,0,12,6,24
18.7,1,0,0,16,11,33
8,0,0,0,12,47,65
18.75,0,0,1,12,16,34
5.5,1,0,0,12,1,19
4.92,1,0,0,12,40,58
7,1,0,0,16,1,23
4.5,0,0,0,12,4,22
8.2,1,0,0,12,33,51
17.25,0,0,0,12,27,45
12.03,1,0,0,12,12,30
18.2,1,0,0,12,18,36
2.86,1,0,0,12,13,31
12,0,0,0,7,29,42
14.7,1,0,0,14,22,42
24,0,0,1,12,33,51
14.42,1,0,0,14,13,33
9,1,0,1,12,24,42
19.72,0,0,0,16,23,45
8,1,0,0,18,13,37
12,0,0,0,12,9,27
13.16,1,0,0,12,4,22
11.25,0,0,0,12,12,30
18,0,0,1,12,18,36
13.5,0,0,0,16,3,25
8.75,0,0,0,12,6,24
12.72,0,0,0,16,18,40
11.31,1,0,0,14,10,30
6,1,0,0,12,0,18
9,0,0,0,12,7,25
