age,school,female,male,black,hisp,exp,married,schoolf,schoolm,siblings,wages,asvab02,asvab03,lnwages,exp2
40,17,0,1,0,0,17.57692,1,16,16,5,30.44,66,57,3.415758,308.9481
38,18,0,1,0,0,11.17308,0,16,16,2,57.69,50,60,4.055084,124.8377
38,18,0,1,0,0,13.75,1,16,15,5,37.79,57,42,3.632045,189.0625
38,12,0,1,0,0,21.57692,1,16,16,1,18.49,34,48,2.91723,465.5634
44,13,0,1,0,0,21.82692,1,12,12,3,27,47,52,3.295837,476.4144
44,12,0,1,0,0,20.38461,1,10,10,3,14,58,56,2.639057,415.5323
40,16,0,1,0,0,13.01923,1,16,16,2,38.81,59,51,3.658678,169.5004
38,12,0,1,0,0,19,0,12,12,1,22.18,50,56,3.099191,361
41,12,0,1,0,0,22.40385,1,9,11,4,12.3,50,59,2.509599,501.9325
41,14,0,1,0,0,16.51923,0,14,12,4,11.9,53,56,2.476538,272.8849
39,19,0,1,0,0,10.96154,0,12,16,1,27.4,51,51,3.310543,120.1554
39,12,0,1,1,0,6.692307,0,12,12,0,13.5,38,47,2.60269,44.78697
44,12,0,1,0,0,21.30769,1,0,0,2,25,40,29,3.218876,454.0176
42,12,0,1,0,0,20.03846,0,9,11,4,10,31,41,2.302585,401.5399
42,19,0,1,0,0,16.88461,1,16,16,2,81.82,64,60,4.404522,285.09
40,14,0,1,0,0,15.03846,1,14,16,2,15.38,46,54,2.733068,226.1553
42,14,0,1,0,0,21.96154,0,14,12,0,28.84,61,55,3.361763,482.3092
44,15,0,1,0,0,20.75,1,12,14,4,9.61,64,61,2.262804,430.5625
39,9,0,1,0,0,4.269231,1,10,9,3,12.5,36,25,2.525729,18.22633
44,14,0,1,0,0,23.26923,1,8,12,8,15.93,65,52,2.768204,541.457
38,16,0,1,0,0,16.38461,1,12,10,2,83.33,58,54,4.422809,268.4554
45,12,0,1,0,0,21.11539,1,7,12,2,18.75,53,55,2.931194,445.8597
40,13,0,1,1,0,21.36539,1,12,12,2,21.83,40,47,3.083285,456.4799
42,14,0,1,0,0,20.78846,1,12,12,3,28.84,46,51,3.361763,432.1601
39,12,0,1,0,0,22.07692,1,10,12,1,16.71,53,55,2.816007,487.3904
38,18,0,1,0,0,13.30769,1,14,12,1,38.46,51,51,3.649619,177.0946
42,12,0,1,0,0,19.67308,1,14,10,6,18.2,46,55,2.901422,387.0301
39,14,0,1,0,0,15.25,1,12,12,2,36.05,64,42,3.584907,232.5625
40,19,0,1,0,0,11.71154,1,16,16,2,25.76,65,60,3.248823,137.1602
43,11,0,1,0,0,23.01923,1,10,12,4,21.11,53,51,3.049747,529.8849
39,13,0,1,0,1,14.19231,1,12,12,3,23.6,38,33,3.161247,201.4217
42,12,0,1,0,0,19.13461,1,11,8,7,20.94,64,55,3.041661,366.1333
42,12,0,1,0,0,21.5,0,14,12,1,21,53,54,3.044523,462.25
39,16,0,1,0,0,16.03846,1,13,12,5,17.94,51,54,2.887033,257.2322
41,12,0,1,0,0,21.92308,1,12,12,1,10.83,45,50,2.38232,480.6215
43,16,0,1,0,0,16.92308,1,20,17,3,15.69,62,59,2.753024,286.3907
37,13,0,1,0,0,17.19231,1,12,12,3,18,59,46,2.890372,295.5755
40,12,0,1,0,0,14.30769,1,12,11,1,12.5,47,50,2.525729,204.71
39,13,0,1,0,0,18.38461,1,12,11,3,25,62,56,3.218876,337.9939
41,14,0,1,0,0,10.75,1,17,12,7,11.39,65,60,2.432736,115.5625
43,16,0,1,1,0,19.48077,0,6,12,2,23.25,49,60,3.146305,379.5004
43,12,0,1,0,0,21.67308,0,8,10,4,14.25,43,54,2.656757,469.7224
40,15,0,1,0,1,20.55769,0,11,12,2,24.61,64,42,3.203153,422.6186
41,12,0,1,0,0,18.09615,0,12,12,1,17.75,42,59,2.876385,327.4706
40,14,0,1,0,0,18.28846,0,16,16,3,15,51,55,2.70805,334.4678
45,12,0,1,1,0,21.36539,1,10,11,6,12,35,28,2.484907,456.4799
